DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1021/acsami.0c09821,gas,nitrogen dioxide,0,1.477121255,"poly[4-(4,4-dihexadecyl-4h-cyclopenta[1,2-b:5,4-b′]dithiophen-2-yl)-alt-[1,2,5]thiadiazolo[3,4-c]pyridine]",25,-1,oxygen/nitrogen
10.1021/jacs.1c01673,liquid,glucose,-0.744351269,2.255648731,cupric cation/hexahydroxytriphenylene,25,7,potassium chloride/water
10.1021/acssensors.1c01783,gas,dimethyl methylphosphonate,-0.096910013,,graphene,25,-1,nitrogen
10.1016/j.snb.2020.129079,gas,hydrogen,-1.468521083,4.301029996,platinum,120,-1,oxygen/nitrogen
10.1016/j.snb.2012.06.062,gas,nitrogen dioxide,-2,0.041392685,zinc oxide,470,-1,nitrogen
10.1039/d0mh00049c,gas,nitrogen dioxide,-1.585026652,1.301029996,poly(3-carboxypropylthiophene),25,-1,oxygen/nitrogen
10.1039/d0na00811g,gas,nitrogen dioxide,-0.244125144,1,carbon nanotube,20,-1,nitrogen
10.1016/j.bios.2012.07.068,liquid,diethyl ether,3.77815125,4.477121255,soybean lecithin,25,-1,nitrogen
10.1021/acs.nanolett.9b00052,liquid,hydrogen peroxide,-4.468333355,-0.468333355,sodium anthraquinone-2-sulfonate,37,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsami.3c00022,gas,nitrogen dioxide,-3.167491087,-0.301029996,indium oxide,100,-1,oxygen/nitrogen
10.1021/acsami.9b12222,gas,ammonia,1.301029996,2,naphthalene diimide,25,-1,nitrogen
10.1016/j.talanta.2016.03.057,liquid,fe3+,-4.301029996,-2.698970004,transferrin,25,7,water
10.1016/j.bios.2010.07.053,liquid,diazinon,-2.301029996,-0.301029996,11-ferrocenyl-1-undecanethiol,25,7,sodium sulfate/water
10.1021/acsami.2c11359,gas,ammonia,-1,2,cupric cation/isophthalate/sodium phosphotungstate,25,-1,oxygen/nitrogen
10.1063/1.3483942,gas,hydrogen,2,4,platinum/titanium/oxygen,115,-1,oxygen/nitrogen
10.1021/jp100461p,gas,hydrogen,4.698970004,,zinc oxide,200,-1,nitrogen
10.1021/jp9106052,liquid,h+,-7,-1,poly(propylene imine) dendrimer/nickel(ii) phthalocyanine-tetrasulfonic acid tetrasodium salt,25,,water
10.1021/nn103115h,gas,dinitrotoluene,-0.301029996,0.698970004,"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",25,-1,oxygen/nitrogen
10.1016/j.cej.2023.145480,gas,nitrogen dioxide,-1.698970004,0,palladium sulfide/tungsten disulfide,25,-1,oxygen/nitrogen
10.1002/chem.201902483,gas,nitrogen dioxide,-0.769551079,-0.301029996,zn2+/2-methylimidazole,25,-1,oxygen/nitrogen
10.1016/j.sna.2016.12.024,gas,oxygen,-1.725842151,-1.490797478,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1016/j.ceramint.2017.05.268,gas,ethanol,1.698970004,2,zinc oxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2022.3170698,gas,ammonia,-0.04383157,2,poly(3-hexylthiophene)/molybdenum disulfide,25,-1,oxygen/nitrogen
10.1007/s10404-010-0740-y,liquid,k+,-1.40793433,4.59206567,valinomycin/au,25,7,water
10.1021/am404460j,liquid,h+,-9,1,poly(triarylamine),25,,water
10.1007/s10854-015-3448-7,gas,nitrogen dioxide,1,1.698970004,pentacene,25,-1,oxygen/nitrogen
10.1109/LED.2017.2770181,gas,hydrogen sulfide,-0.522878745,0.698970004,"benzo[1,2-b:4,5-b']dithiophene-4,8-dione",25,-1,oxygen/nitrogen
10.1002/admt.201900410,gas,nitrogen dioxide,0,0.698970004,poly(bisdodecylquaterthiophene),25,-1,oxygen/nitrogen
10.1016/j.snb.2012.08.036,gas,"2,3-dimethyl-2,3-dinitrobutane",0,0.812913357,aluminium tris(quinolin-8-olate),25,-1,oxygen/nitrogen
10.1016/j.snb.2022.131398,gas,nitrogen dioxide,-4.354577731,-0.301029996,indium oxide/gallium oxide/zinc oxide,150,-1,oxygen/nitrogen
10.1039/c9ra09195e,gas,nitrogen dioxide,0.698970004,1.301029996,"poly{[n,n′-bis(2-decylpentadecyl)naphtho[2,3-b:6,7-b′]dithiophene-4,5,9,10-tetracarboxidiimide-2,7-diyl]-alt-5,5′-(2,2′-bithiophene)}",200,-1,oxygen/nitrogen
10.1039/c9ra09195e,gas,ammonia,1.301029996,2.301029996,"poly{[n,n′-bis(2-decylpentadecyl)naphtho[2,3-b:6,7-b′]dithiophene-4,5,9,10-tetracarboxidiimide-2,7-diyl]-alt-5,5′-(2,2′-bithiophene)}",200,-1,oxygen/nitrogen
10.1016/j.snb.2017.01.110,gas,nitrogen dioxide,1,1.698970004,tin(iv) oxide,180,-1,oxygen/nitrogen
10.1016/j.snb.2014.08.002,liquid,potassium chloride,1.872455221,2.872455221,hafnium dioxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acssensors.9b00270,liquid,phenylalanine,-12.87353123,-1.782016247,mono-(6-amino-6-deoxy)-beta-cyclodextrin,25,7,water
10.1007/s11664-017-5776-2,gas,ammonia,1.698970004,,polyaniline/titanium dioxide,25,-1,oxygen/nitrogen
10.1021/nn900901f,liquid,pyridine,-11,-10.22184875,zn-tcpp,25,-1,nitrogen
10.1016/j.orgel.2017.09.033,gas,ammonia,1,,"poly[[2,5-bis(2-octyldodecyl)-2,3,5,6-tetrahydro-3,6-dioxopyrrolo[3,4-c]pyrrole-1,4-diyl]-alt-[[2,2′-(2,5-thiophene)bis-thieno(3,2-b)thiophene]-5,5′-diyl]]",25,-1,oxygen/nitrogen
10.1016/j.talanta.2011.08.012,gas,diphenyl chlorophosphate,-0.301029996,,"cis,cis-1,3,5-trimethylcyclohexane-1,3,5-tricarboxylic acid/quaternary ammonium sulfanilamide",25,-1,oxygen/nitrogen
10.1016/j.orgel.2021.106083,gas,nitrogen dioxide,0,1.477121255,"poly[2,5-bis(2-decyltetradecyl)pyrrolo[3,4-c]pyrrole-1,4(2h,5h)-dione-alt-5,5'-di(thiophen-2-yl)-2,2'-(e)-2-(2-(thiophen-2-yl)vinyl)thiophene]",25,-1,nitrogen
10.1109/TRANSDUCERS.2015.7181084,gas,nitrogen dioxide,2.875061263,,graphene,25,-1,oxygen/nitrogen
10.1016/j.orgel.2016.02.019,gas,hydrogen sulfide,-0.301029996,1.698970004,"benzo[1,2-b:4,5-b']dithiophene-4,8-dione",25,-1,nitrogen
10.1016/j.snb.2021.129781,gas,nitrogen dioxide,-0.522878745,1.397940009,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1002/aelm.201901073,liquid,h+,-9,0,"poly[3-(3-carboxypropyl)thiophene-2,5-diyl]",25,,water
10.1109/JSEN.2018.2818710,gas,xylene,-2,0.301029996,tin(iv) oxide,25,-1,oxygen/nitrogen
10.1021/acsami.6b02682,gas,nitrogen dioxide,1,2,graphene,25,-1,oxygen/nitrogen
10.1021/acsami.6b02682,gas,ammonia,2,3,graphene,25,-1,oxygen/nitrogen
10.1021/acsami.6b02682,gas,ethanol,2.698970004,3.477121255,graphene,25,-1,oxygen/nitrogen
10.1021/acsami.6b02682,gas,hexane,3,3.477121255,graphene,25,-1,oxygen/nitrogen
10.1002/smll.201201224,gas,nitrogen dioxide,-2.698970004,0.698970004,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1021/nn5015215,gas,nitrogen dioxide,-1.698970004,-0.397940009,molybdenum disulfide,25,-1,argon
10.1021/nn5015215,gas,ammonia,0,2.698970004,molybdenum disulfide,25,-1,argon
10.1021/nl3001293,gas,ethanol,-0.301029996,,graphene,25,-1,oxygen/nitrogen
10.3390/mi11030274,liquid,h+,-5,-2.6,polyacrylic acid,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/ja907585c,gas,carbon monoxide,1.698970004,2.602059991,zinc oxide,275,-1,nitrogen
10.1016/j.snb.2023.134788,liquid,h+,-6,-2,polyaniline,25,,water/glucose/saccharose/monosodium phosphate/calcium chloride/sodium chloride/4-(2-hydroxyethyl)-1-piperazine ethanesulfonic acid/potassium chloride
10.1016/j.mee.2016.03.036,liquid,h+,-5,1,polyaniline,30,,water/citric acid
10.1088/2053-1583/aa57fe,gas,nitrogen dioxide,-1.920818754,0,molybdenum ditelluride,25,-1,nitrogen
10.1088/2053-1583/aa57fe,gas,ammonia,0,2,molybdenum ditelluride,25,-1,nitrogen
10.1002/smll.201400434,gas,nitrogen dioxide,-0.301029996,1.602059991,graphene,25,-1,oxygen/nitrogen
10.1002/adfm.201603598,gas,nitrogen dioxide,-3.105130343,1,graphene,25,-1,oxygen/nitrogen
10.1021/acsami.5b07712,liquid,pb2+,-3,2,lead ionophore iii,25,4.6,sodium acetate/water
10.1021/ja305287p,gas,ammonia,-0.455931956,0.653212514,tris(pentafluorophenyl)borane,25,-1,nitrogen
10.1002/adma.201702469,gas,oxygen,1.84509804,5.977723605,lead methylammonium tri-iodide,25,-1,oxygen/nitrogen
10.1021/jp210582t,gas,acetone,1,2,porphyrin,25,-1,oxygen/nitrogen
10.1021/acssensors.3c00415,liquid,h+,-6,-1,polyaniline,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adfm.201404228,gas,ammonia,-0.301029996,,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.176,gas,nitrogen dioxide,1.397940009,2.301029996,phosphorus,25,-1,nitrogen
10.1021/am505275a,liquid,pb2+,-2.683610249,0.316389751,glutathione,25,7,water
10.1016/j.bios.2016.01.043,liquid,hydrogen peroxide,-2.468393368,0.230576636,phosphorus,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adfm.201505477,gas,ammonia,0.698970004,1.602059991,bromophenol blue,25,-1,oxygen/nitrogen
10.1039/C3CC48197B,liquid,hydrazine,-3.907649709,0.283914237,zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/am300288z,gas,octane,1.230448921,2.086359831,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/am300288z,gas,decane,1.146128036,2.301029996,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/am300288z,gas,water,1,2.301029996,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/am300288z,gas,ethanol,1.944482672,2.785329835,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1021/am300288z,gas,n-butanol,1.176091259,2.06069784,hexyltrichlorosilane,25,-1,oxygen/nitrogen
10.1002/adfm.201801035,gas,ammonia,-1.698970004,2.698970004,tin (ii) sulfide,25,-1,oxygen/nitrogen
10.1016/j.snb.2010.02.019,gas,ammonia,1,2,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1016/j.elecom.2017.03.006,liquid,glucose,0.334825155,3.510916414,iron(iii) oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2011.07.054,liquid,h+,-9,1,polyaniline,25,,water
10.1016/j.bios.2013.02.009,liquid,dopamine,-9.814797935,-6.814797935,ethylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1007/s11671-009-9487-3,gas,oxygen,0.146128036,2.698970004,zinc oxide,573,-1,nitrogen
10.1007/s11671-009-9487-3,gas,nitrogen dioxide,0,0.698970004,zinc oxide,573,-1,nitrogen
10.1016/j.matchemphys.2015.04.034,liquid,h+,-5,1,polyaniline,25,,water
10.1002/adfm.200901830,liquid,h+,-10,-2,polyisobutylmethacrylate,25,,water
10.1039/c3nr03940d,liquid,k+,0.591064607,4.591064607,dibenzo-18-crown-6,25,,water
10.1016/j.bios.2017.06.027,liquid,hg2+,-5,-1,"7,16-dibenzyl-1,4,10,13-tetraoxa-7,16-diazacyclooctadecane",25,4.6,sodium acetate/water
10.1063/1.4752272,gas,ammonia,0.77815125,2.301029996,graphene,27,-1,oxygen/nitrogen
10.1021/nl103306a,liquid,sodium fluoride,1.623125189,4.623125189,graphene,25,7,water
10.1016/j.snb.2015.02.012,gas,hydrogen,0.698970004,4,platinum,400,-1,oxygen/nitrogen
10.1002/adfm.202101981,gas,ammonia,-0.698970004,2,perfluorooctanesulfonic acid,25,-1,oxygen/nitrogen
10.1016/j.snb.2020.129406,gas,ammonia,-1.301029996,2,carbon nanotube,25,-1,oxygen/nitrogen
10.3390/ma12020250,liquid,formaldehyde,-2.200225373,1.477555332,zinc dioxide,25,7,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.carbon.2023.01.049,liquid,sodium hydroxide,-1.27083521,-0.294820755,hafnium dioxide,20.9,7,water
10.1016/j.apsusc.2019.144436,gas,nitrogen dioxide,0,1.397940009,α-sexithiophene,25,-1,oxygen/nitrogen
10.1016/j.snb.2022.132815,gas,nitrogen dioxide,-0.902395671,1.301029996,vanadyl phthalocyanine,25,-1,oxygen/nitrogen
10.3390/s21010013,gas,ammonia,-4.602059991,2.301029996,gold,25,-1,oxygen/nitrogen
10.1002/asia.201801787,liquid,ammonia,0.531478917,,"1,4-benzenedicarboxylic acid, mono(2-ethylhexyl) ester",25,7,water
10.1016/j.synthmet.2020.116569,gas,nitrogen dioxide,-3.15490196,1.477121255,carbon nanotube,25,-1,oxygen/nitrogen
10.1109/LSENS.2020.2988589,gas,hydrogen,-5,-1,palladium,25,-1,oxygen/nitrogen
10.1021/acsami.1c15116,gas,ammonia,0.698970004,2,nile red,25,-1,oxygen/nitrogen
10.1109/TED.2020.3016606,gas,ammonia,-1,0.477121255,silver,25,-1,oxygen/nitrogen
10.1007/s12633-021-01594-3,liquid,water,4.024280376,4.246129126,polyaniline,25,-1,oxygen/nitrogen
10.1007/s13738-013-0367-5,liquid,h+,-9.2,0.25,polypyrrole,25,,boric acid/phosphoric acid/acetic acid/water
10.1039/d1tc04638a,gas,nitrogen monoxide,-0.301029996,1.477121255,"poly(9,9-di-n-dodecylfluorene)/carbon nanotube",25,-1,oxygen/nitrogen
10.1002/smtd.202200581,gas,nitrogen monoxide,-2.301029996,0,cupric cation/benzenehexathiol,25,-1,oxygen/nitrogen
10.1109/JSEN.2022.3221997,gas,hydrogen sulfide,-0.217527376,1.397940009,graphene,25,-1,oxygen/nitrogen
10.1016/j.snb.2022.132313,gas,ammonia,1,1.954242509,lutetium phthalocyanine,20,-1,oxygen/nitrogen
10.1016/j.snb.2021.130058,gas,nitrogen dioxide,-0.397940009,1.602059991,indium oxide/gallium oxide/zinc oxide,22,-1,oxygen/nitrogen
10.1021/acsami.0c00293,liquid,"1,4-diaminobutane",0.812913357,2.511883361,4-mercaptobenzoic acid,27,7,water
10.1039/d3tc02762g,gas,nitrogen dioxide,-0.301029996,1,tin(ii) oxide,26,-1,nitrogen
10.1039/d2mh00340f,gas,nitrogen dioxide,-1.301029996,2,indium oxide/gallium oxide/zinc oxide,150,-1,oxygen/nitrogen
10.1002/adfm.202108878,gas,nitrogen dioxide,0,1.397940009,tin diselenide,25,-1,oxygen/nitrogen
10.1016/j.snb.2022.131854,gas,hydrogen sulfide,1,2.176091259,"poly[2,5-bis(3-dodecylthiophen-2-yl)thieno[3,2-b]thiophene]",25,-1,oxygen/nitrogen
10.1021/acssensors.2c01511,gas,chloroform,2,,graphene,23,-1,oxygen/nitrogen
10.1021/jp104377e,liquid,h+,-8,2,polypyrrole,25,,water
10.1016/j.carbon.2022.09.037,liquid,ca2+,-5.397940009,1.602059991,fluo 4-am,25,7,water
10.1016/j.snb.2014.11.024,gas,ethanol,1,2.698970004,zinc oxide,300,-1,oxygen/nitrogen
10.1039/C1CC12658J,gas,ammonia,4,,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.3390/s110706509,gas,ammonia,-0.301029996,1.301029996,polyaniline,25,-1,nitrogen
10.1109/LED.2021.3059639,liquid,h+,-4.4,-4.2,polyvinyl butyral,25,,water
10.1021/acs.chemmater.9b00106,gas,carbon monoxide,-2,2,palladium(ii) chloride,25,-1,oxygen/nitrogen
10.1021/acs.chemmater.9b00106,gas,hydrogen sulfide,-3,3,mercury(ii) perchlorate,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.06.129,liquid,k+,-1.408935393,2.892094603,valinomycin,25,7,water
10.1016/j.bios.2013.07.061,liquid,uric acid,-1.075435672,2.225594323,11-(ferrocenyl)undecanethiol,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.bios.2016.09.040,liquid,octanol,-6.885295963,-3.885295963,nickel-histidine,25,7,water
10.1016/j.sna.2023.114392,liquid,h+,-9,1,ruthenium oxide/silver oxide,25,,water
10.1016/j.snb.2013.01.020,gas,hydrogen,1.602059991,4,platinum,400,-1,nitrogen
10.1002/admt.201900247,gas,ammonia,-0.301029996,2.698970004,"n,n'-bis(2,5-di-tert-butylphenyl)-3,4,9,10-perylenedicarboximide",25,-1,oxygen/nitrogen
10.1109/INEC.2011.5991756,liquid,h+,-7,-1,ruthenium oxide/titanium dioxide,25,,water
10.1021/acssensors.9b00597,liquid,na+,2.361727836,3.361727836,sodium ionophore x,25,7,water
10.1039/c5tc01100k,liquid,epinephrine,-4.737065048,0.262934952,carbon nanotube,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/c8nr07393g,gas,nitrogen monoxide,-3.698970004,0.698970004,carbon nanotube,25,-1,nitrogen
10.1063/1.4816764,liquid,potassium chloride,2.872455221,4.872455221,graphene,25,7,water
10.1007/s11664-022-09468-z,liquid,h+,-10,1,silanol/silicon carbide,25,,water
10.1039/c6ra09731f,liquid,ammonium hydroxide,-2.610337862,1.942504106,zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.3390/electronics12030777,liquid,h+,-9,0,silicon,25,,sodium acetate/acetic acid/potassium dichromate/water
10.1039/c4cc07498j,liquid,glucose,-2.301029996,-1.698970004,4-mercaptophenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.susc.2014.01.016,liquid,h+,-9.3,-0.2,silicon,25,,water
10.3390/s16060839,liquid,h+,-9,1,silicon,25,,water
10.1007/s11664-017-5604-8,liquid,h+,-9,1,silicon,25,,water
10.1021/acsami.6b14220,gas,ammonia,0,1,"poly(4-(4,4-bis(2-ethylhexyl)-4h-silolo[3,2-b:4,5-b′]dithiophen-2-yl)-7-(4,4-bis(2-ethylhexyl)-6-(thiophen-2-yl)-4h-silolo[3,2-b:4,5-b′]dithiophen-2-yl)-5,6-difluorobenzo[c][1,2,5]thiadiazole)",25,-1,nitrogen
10.1063/1.4704803,gas,sulfur dioxide,1.698970004,,graphene,25,-1,nitrogen
10.1016/j.snb.2010.05.030,gas,carbon monoxide,-0.698970004,1.653212514,gallium oxide/platinum,25,-1,oxygen/nitrogen
10.1002/adfm.201002086,gas,oxygen,1.698970004,3.698970004,nitrogen/carbon nanotube,25,-1,argon
10.1021/acs.jpcc.7b11128,liquid,potassium chloride,1.872455221,2.872455221,poly(diallyldimethylammonium chloride)/poly(sodium 4-styrenesulfonate),25,7,water
10.1016/j.jhazmat.2021.127492,gas,hydrogen sulfide,-1.455931956,1,silver,25,-1,oxygen/nitrogen
10.1039/c2nr32752j,gas,sulfur dioxide,0.698970004,3.041392685,graphene/benzoic acid/ethylene oxide/phenol,25,-1,oxygen/nitrogen
10.3390/s22082999,liquid,h+,-6,0,silicon dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1038/srep12286,liquid,poly(allylamine hydrochloride),0.942008053,,(3-aminopropyl)triethoxysilane,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.7567/JJAP.56.124001,liquid,h+,-7,-1,silicon dioxide,25,,potassium phosphate/water
10.1016/j.carbon.2018.10.079,gas,toluene,3.579783597,,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1016/j.snb.2015.06.075,liquid,hg2+,-4.301029996,-1.22184875,gold,25,1,hydrochloric acid/water
10.1088/2053-1583/3/4/045012,gas,water,3.848189117,4.274157849,rhenium sulfide,25,-1,nitrogen
10.3390/bios13100908,liquid,h+,-5.6,2.93,silicon dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/c8en00588e,liquid,nitrate,-2.958607315,1.447158031,benzyltriethylammonium chloride,25,7,water
10.1016/j.sse.2014.06.013,gas,triethylamine,-2,0,molybdenum disulfide,25,-1,nitrogen
10.3390/s110807763,gas,nitrogen dioxide,1,1.698970004,carbon nanotube,25,-1,oxygen/nitrogen
10.1115/nemb2010-13124,liquid,h+,-6,-2,silicon dioxide,25,,water
10.1002/adfm.201803145,gas,ammonia,0,2,poly(3-thiophene-isoindigo),25,-1,nitrogen
10.1039/c5cc07893h,liquid,hg2+,-2.004364805,0.603343604,dipicolylamine,25,7,water
10.1016/j.orgel.2012.11.030,gas,ammonia,2,,"poly(2,7-dichlorofluorescein-co-norbornene)",25,-1,argon
10.1016/j.snb.2015.09.015,gas,ammonia,1,1.954242509,lutetium phthalocyanine,25,-1,oxygen/nitrogen
10.1088/1674-1056/27/8/087308,liquid,ag+,-5,0,phosphorus,25,7,n-methyl pyrrolidone
10.1016/j.snb.2012.01.054,liquid,h+,-7.5,2.9,silicon dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2017.02.063,gas,ammonia,-0.48148606,2,"poly(2,5-bis(3-tetradecylthiophen-2-yl)thieno(3,2-b)thiophene)",23,-1,oxygen/nitrogen
10.1016/j.snb.2009.12.064,gas,ozone,-1.301029996,-0.397940009,lutetium phthalocyanine,25,-1,oxygen/nitrogen
10.1021/nn300874w,liquid,h+,-7.7,-1.6,silicon dioxide,25,,water
10.1063/1.3691936,gas,water,3.649821463,4.222326211,silicon dioxide,25,-1,oxygen/nitrogen
10.1021/acsami.7b02721,gas,nitrogen dioxide,0,0.698970004,poly(bisdodecylquaterthiophene),25,-1,oxygen/nitrogen
10.1016/j.bios.2015.06.073,liquid,inosine,-0.779107275,1.127471039,"2,2'-bithiophene-5-boronic acid/ethyl 2-[[[2,4(or3,5)-dimethyl-3-cyclohexen-1-yl]methyl]amino]benzoate",25,7,water
10.1016/j.electacta.2010.12.105,gas,nitrogen dioxide,1.698970004,2.602059991,gold,150,-1,nitrogen
10.1039/c8tc06051g,gas,ethanol,1,2,"poly(3,3-didodecylquaterthiophene)",25,-1,oxygen/nitrogen
10.1038/s41467-022-32749-4,liquid,k+,-0.408935393,3.591064607,polyvinyl chloride,25,7,water
10.1038/s41928-018-0162-5,liquid,h+,-4.1,0.2,silicon dioxide,25,,water
10.1016/j.snb.2017.10.132,liquid,arsenic,-4.124938737,-1.124938737,dithiothreitol/au,25,7,water
10.1021/nl5010724,liquid,h+,-5.5,-2.5,silicon dioxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2021.129642,gas,nitrogen dioxide,-2,-0.301029996,indium oxide,172,-1,oxygen/nitrogen
10.1016/j.snb.2013.05.043,gas,water,3.713490543,3.973127854,tin(iv) oxide/antimony trioxide,25,-1,oxygen/nitrogen
10.3390/s150102086,gas,formaldehyde,0.602059991,2.176091259,zinc oxide,25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,benzene,-0.301029996,1,fetppcl,25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,p-xylene,-0.301029996,1,fetppcl,25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,toluene,-0.301029996,1,fetppcl,25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,benzene,-0.301029996,1,"5,10,15,20-tetraphenyl-21h,23h-porphine cobalt(ii)",25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,p-xylene,-0.301029996,1,"5,10,15,20-tetraphenyl-21h,23h-porphine cobalt(ii)",25,-1,oxygen/nitrogen
10.1021/jp504657c,gas,toluene,-0.301029996,1,"5,10,15,20-tetraphenyl-21h,23h-porphine cobalt(ii)",25,-1,oxygen/nitrogen
10.1016/j.materresbull.2011.10.006,gas,water,3.450249108,4.305566314,titanium dioxide,25,-1,oxygen/nitrogen
10.1021/acs.nanolett.6b02360,liquid,"2,4,6-trinitrotoluene",-4.643725499,-0.643725499,"cu/4,4'-[1,4-phenylenebis(ethyne-2,1-diyl)]dibenzoic acid/ethanol",25,7.33,ethanol
10.1039/c7qm00607a,gas,ammonia,1.176091259,2.903089987,phthalocyanine/thiophenol,25,-1,argon
10.1021/acssensors.6b00520,liquid,k+,-3.210278306,3.591064607,polyaniline/dinonylnaphthalene sulfonic acid,25,7,water
10.1039/c9tc01219b,gas,nitrogen dioxide,-2.714442691,1,"6,13-bis(triisopropylsilylethynyl)pentacene",25,-1,oxygen/nitrogen
10.1016/j.bios.2015.12.088,liquid,d-arabitol,1.261424658,2.182243412,"polythiophene/poly 2,2'-bithiophene-5-boronic acid/3,3'-bithiophene",25,7,water
10.1016/j.snb.2019.03.071,liquid,glucose,-0.920818754,2.827369273,titanium dioxide,25,6.8,sodium sulfate/water
10.1016/j.cplett.2014.09.028,gas,nitrogen dioxide,0.301029996,2,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1039/c2an15930a,liquid,tetraethyl pyrophosphate,-1.098160408,-0.177341654,"2,2'-dipicolylamine",22,8,tris buffer
10.1063/1.3685497,liquid,h+,-7,-1,silicon dioxide,25,,water
10.1016/j.snb.2013.12.056,liquid,na+,-0.638272164,3.361727836,niobium pentoxide,25,7,water
10.1016/j.snb.2013.12.056,liquid,k+,-0.408935393,3.591064607,niobium pentoxide,25,7,water
10.1109/TBCAS.2015.2487603,liquid,glucose,0.954618735,4.619260711,adenosine triphosphate,25,8.5,water
10.1039/c1jm13579a,gas,ethanol,0,2.301029996,platinum,25,-1,oxygen/nitrogen
10.1038/s41563-017-0016-y,liquid,na+,3.494307684,,silicon dioxide,25,5.5,water
10.1038/s41563-017-0016-y,liquid,k+,2.743352951,,silicon dioxide,25,5.5,water
10.1038/s41563-017-0016-y,liquid,ca2+,2.164352856,,silicon dioxide,25,5.5,water
10.1038/s41563-017-0016-y,liquid,mg2+,1.084576278,1.885293356,silicon dioxide,25,5.5,water
10.1063/1.4793655,liquid,h+,-7,-1,silicon dioxide,25,,water
10.1016/j.snb.2018.01.244,gas,water,3.46834733,4.42258984,graphene,24,-1,nitrogen
10.1016/j.snb.2018.01.244,gas,ethanol,3.889861721,4.792951708,graphene,24,-1,nitrogen
10.1016/j.snb.2018.01.244,gas,methanol,4.274619619,5.228862129,graphene,24,-1,nitrogen
10.1016/j.snb.2018.06.077,liquid,hg2+,-3,2,"7,16-dibenzyl-1,4,10,13-tetraoxa-7,16-diazacyclooctadecane",25,7,water
10.1109/JSEN.2015.2481604,liquid,acetylcholine,-1.266850903,1.465977368,nickel oxide,25,7,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/LED.2012.2193867,gas,nitrogen dioxide,1,,graphene,25,-1,oxygen/nitrogen
10.1109/LED.2012.2193867,gas,ammonia,1.698970004,,graphene,25,-1,oxygen/nitrogen
10.1016/j.carbon.2017.08.026,gas,ammonia,2.301029996,3.301029996,graphene,25,-1,nitrogen
10.1021/acsami.8b14142,gas,acetone,-0.698970004,3.301029996,molybdenum ditelluride,25,-1,nitrogen
10.1021/acs.nanolett.8b04988,liquid,h+,-7,0.5,silicon dioxide,25,,water
